,prolific_id,headline,article_id,response_class,company_1,company_2
0,,WorleyParsons acquiring CNEC Engenharia,stub_article_id,Merger,,
1,,Blackgold acquiring Qijiang ChangHong Coal,stub_article_id,Acquisition,,
2,,Cardno acquiring Perth-based Gilbert Rose Consulting,stub_article_id,Merger,,
3,,Paragon Care acquiring Tender Living Care,stub_article_id,Acquisition,,
4,,. Final Report/ASIC Annual Audited A/Cs/Media Rel,stub_article_id,Neither / Not sure / Unclear,,
5,,. Final Report/Media Release/Mgt Discussion Anal,stub_article_id,Acquisition,,
6,,Countplus acquiring Pacific East Coast,stub_article_id,Acquisition,,
7,,Resolute continues Syama ramp-up,stub_article_id,Merger,,
8,,Greencap acquiring MC2 Pacific,stub_article_id,Merger,,
9,,. Monthly Traffic&amp;Capacity Stats-May 2000/Co.Up,stub_article_id,Neither / Not sure / Unclear,,
